Step	Training Loss
456	0.908600
457	0.907100
458	0.952900
459	0.899700
460	0.906800
461	0.886000
462	0.949700
463	0.930700
464	0.945000
465	0.952200
466	0.901300
467	0.928300
468	0.946900
469	0.904800
470	0.928200
471	0.912600
472	0.895800
473	0.915000
474	0.930000
475	0.921500
476	0.914900
477	0.926600
478	0.925100
479	0.937300
480	0.909300
481	0.941000
482	0.897100
483	0.957200
484	0.942200
485	0.904500
486	0.913800
487	0.925600
488	0.878500
489	0.979000
490	0.906300
491	0.905300
492	0.927100
493	0.929200
494	0.949900
495	0.901900
496	0.918100
497	0.934600
498	0.919900
499	0.926300
